235;7-й Новый\4-я Линия;756,757,758,759,776,777,766,767
236;7-й Новый\Жукова;745,746,766,767,764,765
237;7-й Новый\Л. Чайкиной;730,731,764,765
238;7-й Новый\Дачная;786,787,776,777,788,789
239;АГНКС;788,789,790,791
240;7-й Новый\Новороссия;790,791,792,793,796,797
241;Бакинская\4-я Линия;758,759,772,773,768,769
242;Бакинская\Жукова;744,745,768,769,740,741
243;Бакинская\1-я Линия;740,741,734,735,738,739
244;Бакинская\Л. Чайкиной;731,732,733,738,739
245;Бакинская\Морозова;689,690,611,672,673
246;1-й Новый\Л. Чайкиной;732,733,736,737
247;1-й Новый\1-я Линия;742,743,734,735,736,737,800,801
248;1-й Новый\Жукова;744,770,771,798,799,742,743
249;1-й Новый\4-я Линия;772,773,774,775,770,771
250;1-й Новый 26;774,775
251;АЗС Газпром;798,799,800,801,802,803
252;Щаденко\Станочный;668,669,674,675,666,667
253;Щаденко\Центральный;666,667,676,677,664,665
254;Щаденко\Конвейерный;664,665,678,679,662,663
255;Бабушкина\Михайловская;662,663,683,684,660,661
256;Урицкого\Станочный;611,680,674,675
257;Урицкого\Центральный;680,681,682,676,677
258;Урицкого\Конвейерный;681,682,678,679
259;Михайловка;683,684,685,686,687,688
260;ДНТ Орешек;685,686
261;Переезд;687,688,806,807,810,811
262;Маргелова;806,807,808,809,804,805
263;ЖК Андреевский;808,809
264;Родник;810,822,812,813
265;Теплицы;814,815,812,813,818,819
266;Вареновка;818,819
267;Самбек;820,821
268;Поворот на Бессергеновку;816,817,814,815,820,821
269;Развязка на Ростов;816,817,822,823,796,797
270;Ростовское ш.\Маргелова;802,803,804,805,822,823
271;Троицкое;794,795
272;Поворот на Троицкое;83,84,792,793,794,795
273;Чехова 375;23,24,25,26,27,28
